11,22,4
23,20,14
17,28,27,24
6,16,20
10,18,0
19,24
16,22,20,7,17,3
20,6,17,28,12,14
29
16,22
4
0,22
14,7,21
14,23,29,25
13,1,23,20,7,12,21,25
29
9,22,6,3
6,7,28,2
4
5,24
3,6,7,14,1
25,14,12,7,28,26
11,0,9,16,6
1,13,14
2,27,19,5
29,13,14,21
21,28,27
26,28,2,24
7,17,2,27,26,21
15,8,13,25
